,Date Created,Number of Likes,Source of Tweet,Tweet
70,2022-10-24 13:39:48+00:00,3877,Twitter for iPhone,@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti… https://t.co/IhGWe8AsKK
71,2022-10-24 13:35:53+00:00,5960,Twitter for iPhone,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Val… https://t.co/XFrhrl0ReN"
72,2022-10-24 13:28:44+00:00,3728,Twitter for iPhone,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a… https://t.co/e8b4pxJp9n"
73,2022-10-24 13:19:56+00:00,8809,Twitter for iPhone,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche"
74,2022-10-24 13:13:07+00:00,15675,Twitter for iPhone,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot"
75,2022-10-24 12:58:14+00:00,1712,Twitter for iPhone,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes
76,2022-10-24 12:51:35+00:00,1582,Twitter for iPhone,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣
77,2022-10-24 12:48:28+00:00,47260,Twitter for iPhone,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that… https://t.co/xF1OLu9iZY"
78,2022-10-24 05:39:47+00:00,5222,Twitter for iPhone,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome
79,2022-10-24 02:37:00+00:00,11690,Twitter for iPhone,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not… https://t.co/zYDRAR6mXF"
80,2022-10-23 23:02:25+00:00,0,Twitter for iPhone,RT @SpaceX: Falcon Heavy in the hangar at Launch Complex 39A https://t.co/Ul1Ti8e8qH
81,2022-10-23 22:36:41+00:00,10297,Twitter for iPhone,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!
82,2022-10-23 16:58:01+00:00,10888,Twitter for iPhone,@SKMorefield Interesting
83,2022-10-23 13:31:21+00:00,36044,Twitter for iPhone,@pcgamer Great game
84,2022-10-23 13:29:48+00:00,59792,Twitter for iPhone,"Maybe it was a social media algorithm, not even people"
85,2022-10-23 13:26:21+00:00,120380,Twitter for iPhone,Think about who might have decided “The Current Thing” before accepting it
86,2022-10-23 13:21:51+00:00,122216,Twitter for iPhone,"Who decides “The Current Thing?”
Real question. I don’t know."
87,2022-10-23 13:10:44+00:00,17254,Twitter for iPhone,@andst7 Exactly. WaPo are such hypocrites.
88,2022-10-23 12:19:22+00:00,65169,Twitter for iPhone,Neuralink show &amp; tell now on Nov 30
89,2022-10-23 12:11:12+00:00,11636,Twitter for iPhone,@muskQu0tes @SpaceX Had to be done
90,2022-10-23 01:41:03+00:00,10989,Twitter for iPhone,@Gfilche @MartinViecha We’ve come a long way
91,2022-10-23 00:29:28+00:00,216663,Twitter for iPhone,"i know
|nothing|
is forever"
92,2022-10-22 21:25:50+00:00,4079,Twitter for iPhone,@BillyM2k @sakitechonline @DavidSacks 🤣💪
93,2022-10-22 21:04:27+00:00,0,Twitter for iPhone,RT @historyinmemes: How the borders have changed over time https://t.co/Rs8RmTpRw1
94,2022-10-22 20:24:41+00:00,36921,Twitter for iPhone,@michaelmalice @washingtonpost Good point 🤔
95,2022-10-22 19:54:11+00:00,19425,Twitter for iPhone,@MuskUniversity This needs to change. Manufacturing is awesome!
96,2022-10-22 17:24:03+00:00,23194,Twitter for iPhone,@muskQu0tes It will happen
97,2022-10-22 16:00:09+00:00,11634,Twitter for iPhone,@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!
98,2022-10-22 15:06:32+00:00,24518,Twitter for iPhone,@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 tr… https://t.co/9UEjbHqqAb
99,2022-10-22 07:01:37+00:00,1709,Twitter for iPhone,@xuanyiman @stillgray @DavidSacks 😋
