,screen_name,id,name,created_at,description,location,protected,profile_image_url,followers_count,following_count,tweet_count,listed_count,url,verified
10,dougmastriano,968204866760970240,Doug Mastriano,2018-02-26T19:23:23.000Z,Pennsylvania Senator of PA District 33,"Pennsylvania, USA",False,https://pbs.twimg.com/profile_images/1559252022955855872/OrUKMRfr_normal.jpg,132926,3520,13133,342,https://t.co/e4iuQzNRqE,False
11,GovStitt,865210877678686208,Governor Kevin Stitt,2017-05-18T14:22:02.000Z,Official Twitter account of Oklahoma Governor Kevin Stitt.,"Oklahoma City, OK",False,https://pbs.twimg.com/profile_images/1537116466163630080/jJ8iHsVO_normal.jpg,61857,268,4208,536,https://t.co/bbVcz2Pv5v,True
12,RonDeSantisFL,487297085,Ron DeSantis,2012-02-09T06:41:04.000Z,"Governor of Florida. Husband to @CaseyDeSantis. Father to Madison, Mason, and Mamie. Iraq Veteran. Fighting to Keep Florida Free.",Florida,False,https://pbs.twimg.com/profile_images/1457717404432228357/vQhzfYO3_normal.jpg,1269476,3,4058,2090,https://t.co/UORiwxJLV9,True
13,leezeldin,15874918,Lee Zeldin,2008-08-16T17:35:57.000Z,"Dad, Husband, Congressman & Army Reserve Lieutenant Colonel running for Governor of New York to Save Our State! 

🚨 Text LEE to 484848","Shirley, L.I., N.Y.",False,https://pbs.twimg.com/profile_images/1570179246202540036/Rm0RCPFY_normal.jpg,152248,1946,9275,611,https://t.co/4m6ryifezb,True
14,GregAbbott_TX,90651198,Greg Abbott,2009-11-17T15:27:41.000Z,Texas Governor Greg Abbott's Personal Twitter Feed,"Austin, TX",False,https://pbs.twimg.com/profile_images/1106778059590565889/M-ak-U5F_normal.jpg,859516,2801,14868,3620,https://t.co/EuxE90ZvPH,True
15,bobforgovernor,908458972570583046,Bob Stefanowski,2017-09-14T22:34:32.000Z,"Working for an affordable, safe, and transparent Connecticut.",Connecticut,False,https://pbs.twimg.com/profile_images/1501024317131395077/yu1V6Gl4_normal.jpg,11207,875,3373,79,https://t.co/36PXZBSL1j,True
16,AshleyKalus,1451532092152627201,Ashley Kalus,2021-10-22T12:53:20.000Z,👨‍👩‍👦 Proud Mom 👩‍💼 Small Business Owner 🥊 Golden Gloves Boxing Champion 🎣 Avid Angler. 👟 Running for Rhode Island Governor #RIGov,Rhode Island,False,https://pbs.twimg.com/profile_images/1506263065372864518/Pv4gyBas_normal.jpg,3840,1753,725,19,https://t.co/cDn2OeIaSc,True
17,henrymcmaster,16335288,Gov. Henry McMaster,2008-09-17T19:31:57.000Z,117th Governor of South Carolina,"Columbia, SC",False,https://pbs.twimg.com/profile_images/1493738032016412680/-NBHbD65_normal.jpg,82404,624,5056,955,,True
18,heidiganahl,14622946,Heidi Ganahl for CO Gov,2008-05-02T05:33:30.000Z,Candidate for Governor of Colorado 2022 🇺🇸 Mom. Entrepreneur. CU Regent. Dog Lover/Founder @campbowwow. Freedom Fighter. #heidiforgov #heidi4gov,Colorado,False,https://pbs.twimg.com/profile_images/1570492003041030145/ycb2MRd-_normal.jpg,10824,1156,1964,122,https://t.co/HroGQn9wr5,True
19,DarrenBaileyIL,912088801354436609,Darren Bailey for Governor,2017-09-24T22:58:10.000Z,"Our families’ priorities have always been Faith, Family, Farming & Community. I’m running to serve as a principled conservative leader in Springfield.","Louisville, IL",False,https://pbs.twimg.com/profile_images/1561119050276782080/5x38SpX2_normal.jpg,16591,562,2966,108,https://t.co/IIV1b8FuYC,False
20,jim_pillen,1377648577284038658,Jim Pillen,2021-04-01T15:47:05.000Z,"I'm a father, grandfather, pig farmer, and conservative Republican running for governor to keep Nebraska great. I'd be honored to earn your vote.",Nebraska,False,https://pbs.twimg.com/profile_images/1379792744672075776/1OdH3e31_normal.jpg,4024,99,1015,33,https://t.co/X5Wzz4QSis,True
21,MikeDunleavyGov,1081991142,Mike Dunleavy,2013-01-12T06:08:05.000Z,Dunleavy for Governor. Always fighting for Alaska.,"Alaska, USA",False,https://pbs.twimg.com/profile_images/1501928861885415424/--b5GBL-_normal.jpg,3395,62,172,91,https://t.co/6doIt4EgP8,True
22,ChrisSununu,95943434,Chris Sununu,2009-12-10T17:18:58.000Z,Governor of the State of New Hampshire | Dad to 3 great kids & Husband to the most understanding wife on the planet.,"Seacoast, New Hampshire",False,https://pbs.twimg.com/profile_images/1024328395696435200/tU-n1xTb_normal.jpg,24196,139,2329,283,https://t.co/hXcneeNfQq,True
23,IAGovernor,851808935397011456,Gov. Kim Reynolds,2017-04-11T14:47:30.000Z,"43rd governor of Iowa. 5th generation Iowan. Former county treasurer, state senator & lt. governor. Unleashing opportunities!","Iowa, USA",False,https://pbs.twimg.com/profile_images/1480647453770661902/VqH2z_Lh_normal.jpg,61113,539,4110,490,https://t.co/yqV9dGPKRU,True
24,MikeDeWine,30887511,Mike DeWine,2009-04-13T15:39:54.000Z,Husband to @FranDeWine | Father of 8 | Grandfather of 26 | Governor of the State of Ohio,"Cedarville, Ohio",False,https://pbs.twimg.com/profile_images/1004830609460494336/1D6sCiCx_normal.jpg,142986,714,3885,533,https://t.co/wpSkvJXsKb,True
25,BrianDahleCA,492476220,Senator Brian Dahle,2012-02-14T19:25:27.000Z,Gubernatorial Candidate // Paid for by Brian Dahle for Governor 2022,"Bieber, CA",False,https://pbs.twimg.com/profile_images/1498529962822754306/QkozA9dZ_normal.jpg,18535,5840,3725,314,https://t.co/Q52XIXdama,True
26,KristiNoem,114388293,Kristi Noem,2010-02-15T07:08:18.000Z,"I am a wife, mother, grandma, farmer, rancher, small business owner, and South Dakotan who serves as South Dakota's Governor.","South Dakota, USA",False,https://pbs.twimg.com/profile_images/1585354070943989763/9jcBgSMx_normal.jpg,352627,3326,4463,955,https://t.co/qKAZGZTuCi,True
27,SarahHuckabee,5509762,Sarah Huckabee Sanders,2007-04-25T22:00:29.000Z,Christian. Wife. Mom. Arkansan. Former White House press secretary. Republican candidate for Governor.,"Little Rock, AR",False,https://pbs.twimg.com/profile_images/1144998720766959623/xaD1-IHV_normal.jpg,969857,2933,5037,2839,https://t.co/sOc7KlvkLh,True
28,maura_healey,1964991720,Maura Healey,2013-10-16T15:45:25.000Z,Running to be a Governor for the people. Massachusetts Attorney General. Civil rights lawyer. Daughter. Sister. Aunt. Baller. she/her,Massachusetts,False,https://pbs.twimg.com/profile_images/1484116779496583173/cccAQoNr_normal.jpg,64239,6917,8862,588,https://t.co/EsJlvKcQuW,True
29,iamwesmoore,42535683,Wes Moore for Maryland Governor,2009-05-26T01:37:12.000Z,"Husband, father, combat veteran, Governor-Elect of the state of Maryland. By authority: Moore for Maryland, Mary Tydings, Treasurer",Baltimore,False,https://pbs.twimg.com/profile_images/1531446869238419462/vaW4bo7__normal.jpg,76592,2803,11950,818,https://t.co/ZKRq6cqewL,True
30,GovHawaii,2916915026,Governor David Ige,2014-12-02T21:37:45.000Z,"The official Twitter account of Hawai‘i's Governor David Ige. Updated by staff. To contact our office, visit https://t.co/W2mPI5AswZ","Honolulu, HI",False,https://pbs.twimg.com/profile_images/1281680920873857024/WH6fTkqq_normal.jpg,30128,789,12673,714,https://t.co/ZUinH3Y8nx,True
31,GovBillLee,1084924525232513025,Gov. Bill Lee,2019-01-14T21:25:38.000Z,50th Governor of Tennessee,State of Tennessee,False,https://pbs.twimg.com/profile_images/1166741712313696256/Z2u6MHXy_normal.jpg,111651,159,3241,656,https://t.co/cmW7jEv3Wn,True
32,BrendaForVT,993594781732352002,Brenda Siegel for Governor,2018-05-07T20:53:50.000Z,Politician. Candidate for Governor. Teacher. Writer. Drug Policy & Anti-Poverty Advocate. Proud Single Mom. She/Her/Hers,,False,https://pbs.twimg.com/profile_images/1224100024407281664/0J1_GN3K_normal.jpg,2080,1541,7573,27,https://t.co/SBRWRPSs89,True
33,kayiveyforgov,903636248308436992,Kay Ivey,2017-09-01T15:10:45.000Z,Governor of Alabama. Running for re-election. Alabama is working again and the best is yet to come!,"Alabama, USA",False,https://pbs.twimg.com/profile_images/1400085585306419201/_kDC5B5M_normal.jpg,11952,1,539,147,https://t.co/ipcmg0MsCK,True
34,RealABundy,1401246913542836224,Ammon Bundy,2021-06-05T18:38:18.000Z,"Candidate for Governor of Idaho • True Conservative • God, Family and Country • Life, Liberty and the Pursuit of Happiness • Running to Keep Idaho IDAHO 🇺🇸","Emmett, ID",False,https://pbs.twimg.com/profile_images/1578945212843380737/eEj7pukO_normal.jpg,7293,217,1123,19,https://t.co/l9uuiVrYRa,False
