,Date Created,Number of Likes,Source of Tweet,Tweet
37,2022-10-24 13:42:48+00:00,1857,Twitter for iPhone,@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9’s
38,2022-10-24 13:39:48+00:00,3766,Twitter for iPhone,@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti… https://t.co/IhGWe8AsKK
39,2022-10-24 13:35:53+00:00,5735,Twitter for iPhone,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Val… https://t.co/XFrhrl0ReN"
40,2022-10-24 13:28:44+00:00,3628,Twitter for iPhone,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a… https://t.co/e8b4pxJp9n"
41,2022-10-24 13:19:56+00:00,8734,Twitter for iPhone,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche"
42,2022-10-24 13:13:07+00:00,15479,Twitter for iPhone,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot"
43,2022-10-24 12:58:14+00:00,1604,Twitter for iPhone,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes
44,2022-10-24 12:51:35+00:00,1488,Twitter for iPhone,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣
45,2022-10-24 12:48:28+00:00,47052,Twitter for iPhone,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that… https://t.co/xF1OLu9iZY"
46,2022-10-24 05:39:47+00:00,5105,Twitter for iPhone,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome
47,2022-10-24 02:37:00+00:00,11638,Twitter for iPhone,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not… https://t.co/zYDRAR6mXF"
48,2022-10-23 23:02:25+00:00,0,Twitter for iPhone,RT @SpaceX: Falcon Heavy in the hangar at Launch Complex 39A https://t.co/Ul1Ti8e8qH
49,2022-10-23 22:36:41+00:00,10265,Twitter for iPhone,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!
50,2022-10-23 16:58:01+00:00,10769,Twitter for iPhone,@SKMorefield Interesting
51,2022-10-23 13:31:21+00:00,35845,Twitter for iPhone,@pcgamer Great game
52,2022-10-23 13:29:48+00:00,50436,Twitter for iPhone,"Maybe it was a social media algorithm, not even people"
53,2022-10-23 13:26:21+00:00,109756,Twitter for iPhone,Think about who might have decided “The Current Thing” before accepting it
54,2022-10-23 13:21:51+00:00,113934,Twitter for iPhone,"Who decides “The Current Thing?”
Real question. I don’t know."
55,2022-10-23 13:10:44+00:00,17150,Twitter for iPhone,@andst7 Exactly. WaPo are such hypocrites.
56,2022-10-23 12:19:22+00:00,60240,Twitter for iPhone,Neuralink show &amp; tell now on Nov 30
57,2022-10-23 12:11:12+00:00,11517,Twitter for iPhone,@muskQu0tes @SpaceX Had to be done
58,2022-10-23 01:41:03+00:00,10937,Twitter for iPhone,@Gfilche @MartinViecha We’ve come a long way
59,2022-10-23 00:29:28+00:00,209703,Twitter for iPhone,"i know
|nothing|
is forever"
60,2022-10-22 21:25:50+00:00,4031,Twitter for iPhone,@BillyM2k @sakitechonline @DavidSacks 🤣💪
61,2022-10-22 21:04:27+00:00,0,Twitter for iPhone,RT @historyinmemes: How the borders have changed over time https://t.co/Rs8RmTpRw1
62,2022-10-22 20:24:41+00:00,36852,Twitter for iPhone,@michaelmalice @washingtonpost Good point 🤔
63,2022-10-22 19:54:11+00:00,19353,Twitter for iPhone,@MuskUniversity This needs to change. Manufacturing is awesome!
64,2022-10-22 17:24:03+00:00,23133,Twitter for iPhone,@muskQu0tes It will happen
65,2022-10-22 16:00:09+00:00,11605,Twitter for iPhone,@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!
66,2022-10-22 15:06:32+00:00,24477,Twitter for iPhone,@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 tr… https://t.co/9UEjbHqqAb
67,2022-10-22 07:01:37+00:00,1676,Twitter for iPhone,@xuanyiman @stillgray @DavidSacks 😋
68,2022-10-22 07:00:32+00:00,1973,Twitter for iPhone,"@stillgray @DavidSacks Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops"
69,2022-10-22 06:43:06+00:00,1457,Twitter for iPhone,@PhreshNic @MedvedevRussiaE @trussliz 🤣
70,2022-10-22 00:39:36+00:00,3753,Twitter for iPhone,@DavidSacks Good thread
71,2022-10-21 22:43:38+00:00,8558,Twitter for iPhone,"@teslaownersSV Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta."
72,2022-10-21 22:37:45+00:00,5521,Twitter for iPhone,@BillyM2k @DavidSacks 🤣💯
73,2022-10-21 22:35:01+00:00,0,Twitter for iPhone,RT @SpaceX: Launch and catch tower stacking Starship at Starbase https://t.co/KOpX8tZMHh
74,2022-10-21 22:33:47+00:00,13898,Twitter for iPhone,@ksadjadpour Cool
75,2022-10-21 22:20:58+00:00,27084,Twitter for iPhone,"@DavidSacks 🤣🤣 

Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades."
76,2022-10-21 21:46:05+00:00,0,Twitter for iPhone,RT @Tesla: Vote for new Supercharger locations → https://t.co/bjNaL3DErN
77,2022-10-21 21:45:15+00:00,0,Twitter for iPhone,"RT @Tesla: Our most advanced paint system yet, allowing up to 13 layers for depth, dimension &amp; a hand-painted look https://t.co/UXoZwC281m"
78,2022-10-21 18:38:58+00:00,32622,Twitter for iPhone,@justindross 🤣
79,2022-10-21 18:25:12+00:00,9823,Twitter for iPhone,"@WholeMarsBlog Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it wil… https://t.co/frsLQSyy36"
80,2022-10-21 17:01:53+00:00,2714,Twitter for iPhone,@eigenrobot One of my favorite conspiracy theories is that the world is actually 80% men
81,2022-10-21 13:22:33+00:00,2794,Twitter for iPhone,@ChessProblem un ass ailable logic!
82,2022-10-21 07:25:23+00:00,4875,Twitter for iPhone,@teslaownersSV Yes
83,2022-10-21 06:42:17+00:00,1295,Twitter for iPhone,@LifeboatHQ https://t.co/j4ZHlazoPa
84,2022-10-21 06:39:47+00:00,2127,Twitter for iPhone,"@LifeboatHQ You’re right. Eventually, we all run out of time. https://t.co/GyXk9uZLIW"
85,2022-10-21 06:34:33+00:00,41145,Twitter for iPhone,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, givin… https://t.co/Dx702XerCN"
86,2022-10-21 06:11:05+00:00,3618,Twitter for iPhone,"@teslaownersSV @BillyM2k Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. 

Re… https://t.co/pSEmyxd9Bg"
87,2022-10-21 06:01:32+00:00,0,Twitter for iPhone,RT @Tesla: https://t.co/CqbkkORG70
88,2022-10-21 05:54:23+00:00,5352,Twitter for iPhone,@RenataKonkoly @ThorstenBasch @spideycyp_155 @BillyM2k Those who want Putin removed are laboring under the misappre… https://t.co/jzY4zCeNzt
89,2022-10-21 05:45:12+00:00,1480,Twitter for iPhone,"@ThorstenBasch @spideycyp_155 @BillyM2k Russia overrunning Ukraine would destabilize the entire region, perhaps the world"
90,2022-10-21 05:12:37+00:00,1458,Twitter for iPhone,@spideycyp_155 @BillyM2k If Russia faced calamitous defeat in conventional warfare for something as strategically c… https://t.co/zPxYv0EF5a
91,2022-10-21 05:09:52+00:00,2022,Twitter for iPhone,@jamesplloyd @SpaceX I do. Yes.
92,2022-10-21 05:06:29+00:00,1575,Twitter for iPhone,"@spideycyp_155 @BillyM2k Still very unlikely, but this is the closest we’ve been since Cuba in ‘62"
93,2022-10-21 04:53:50+00:00,5054,Twitter for iPhone,"@teslaownersSV @BillyM2k Just guessing, but probably until spring of ‘24"
94,2022-10-21 04:51:37+00:00,50071,Twitter for iPhone,@BillyM2k It sure would be nice to have one year without a horrible global event
95,2022-10-21 04:42:02+00:00,1551,Twitter for iPhone,@AndrewPerpetua “Brutal for both sides” will be a common phrase in the months to come
96,2022-10-21 03:31:20+00:00,226982,Twitter for iPhone,https://t.co/WqGm6InNTp
97,2022-10-21 02:57:24+00:00,20174,Twitter for iPhone,@bgarlinghouse No way
98,2022-10-21 02:00:08+00:00,3120,Twitter for iPhone,@SamitoFPS Maybe
99,2022-10-21 01:50:54+00:00,16255,Twitter for iPhone,@NewsfromScience Certainly warrants closer scrutiny
